Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
adidas-classic-backpack-legend-ink-multicolour,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,"The adidas BP Classic Cap features a pre-curved brim to keep your face shaded, while a hook-and-loop adjustable closure provides a comfortable fit. With a 3-Stripes design and reflective accents. The perfect piece to top off any outfit.",ADIDAS,Uncategorized,ACCESSORIES,"adidas, backpack, clothes, egnition-sample-data",true,Size,OS,,Color,blue,,,,,"AD-04
-OS-blue",0.0,shopify,30,deny,manual,50.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_30_image1.jpg?v=1787745250,1,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,false,,,,kg,,,active
adidas-classic-backpack-legend-ink-multicolour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_30_image2.jpg?v=1787745250,2,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,,,,,,,,
adidas-classic-backpack-legend-ink-multicolour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_30_image3.jpg?v=1787745250,3,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,,,,,,,,
adidas-classic-backpack,ADIDAS | CLASSIC BACKPACK,"This women's backpack has a glam look, thanks to a faux-leather build with an allover fur print. The front zip pocket keeps small things within reach, while an interior divider reins in potential chaos.",ADIDAS,Uncategorized,ACCESSORIES,"adidas, backpack, clothes, egnition-sample-data",true,Size,OS,,Color,black,,,,,AD-03-OS-black,0.0,shopify,30,deny,manual,70.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_29_image1.jpg?v=1787745245,1,ADIDAS | CLASSIC BACKPACK,false,,,,kg,,,active
adidas-classic-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_29_image2.jpg?v=1787745245,2,ADIDAS | CLASSIC BACKPACK,,,,,,,,
adidas-classic-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_29_image3.jpg?v=1787745245,3,ADIDAS | CLASSIC BACKPACK,,,,,,,,
nike-swoosh-pro-flat-peak-cap,NIKE | SWOOSH PRO FLAT PEAK CAP,The Nike Swoosh Pro Flat Snapback features an embroidered logo for style and wool construction with an adjustable closure for a comfortable fit.,NIKE,Uncategorized,ACCESSORIES,"cap, clothes, egnition-sample-data, nike",true,Size,OS,,Color,white,,,,,NK-03-OS-white,0.0,shopify,40,deny,manual,30.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_28_image1.jpg?v=1787745239,1,NIKE | SWOOSH PRO FLAT PEAK CAP,false,,,,kg,,,active
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_28_image2.jpg?v=1787745239,2,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_28_image3.jpg?v=1787745239,3,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,
nike-swoosh-pro-flat-peak-cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/4283/4006/files/product_28_image4.jpg?v=1787745239,4,NIKE | SWOOSH PRO FLAT PEAK CAP,,,,,,,,
